| Date                      |     Open |    Close |      Volume |    EMA_5 |   KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |
|---------------------------+----------+----------+-------------+----------+----------+-----------+-------------+-------------+-----------------+---------------------+-------------|
| 1998-11-09 00:00:00-05:00 |  72.8185 |  72.419  | 6.1887e+06  |   0      |   0      |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-10 00:00:00-05:00 |  72.2194 |  72.2194 | 1.40152e+07 |   0      |   0      |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-11 00:00:00-05:00 |  72.7386 |  71.74   | 1.09224e+07 |   0      |   0      |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-12 00:00:00-05:00 |  71.78   |  71.6601 | 5.4574e+06  |   0      |   0      |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-13 00:00:00-05:00 |  71.7201 |  72.3592 | 5.5246e+06  |   0      |   0      |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-16 00:00:00-05:00 |  72.9983 |  72.8984 | 6.0237e+06  |   0      |  72.0795 |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-17 00:00:00-05:00 |  72.6388 |  72.8984 | 9.0589e+06  |   0      |  72.1754 |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-18 00:00:00-05:00 |  73.0582 |  73.3378 | 4.5677e+06  |   0      |  72.3112 |         0 |      0      |      0      |               0 |                   0 | False       |
| 1998-11-19 00:00:00-05:00 |  73.6773 |  73.9769 | 5.2493e+06  |  72.6121 |  72.6308 |         1 |      0      |      0      |               0 |                   1 | False       |
| 1998-11-20 00:00:00-05:00 |  74.3663 |  74.5361 | 5.562e+06   |  72.9969 |  73.0942 |         1 |      0      |      0      |               0 |                   1 | False       |
| 1998-11-23 00:00:00-05:00 |  75.0754 |  76.2937 | 7.1513e+06  |  73.6563 |  73.5295 |         1 |      0      |      0      |               0 |                   1 | False       |
